car,mpg
Mazda RX4,21
Mazda RX4 Wag,21
Datsun 710,22.8
Hornet 4 Drive,21.4
Hornet Sportabout,18.7
Valiant,18.1
Duster 360,14.3
Merc 240D,24.4
Merc 230,22.8
Merc 280,19.2
Merc 280C,17.8
Merc 450SE,16.4
Merc 450SL,17.3
Merc 450SLC,15.2
Cadillac Fleetwood,10.4
Lincoln Continental,10.4
Chrysler Imperial,14.7
Fiat 128,32.4
Honda Civic,30.4
Toyota Corolla,33.9
Toyota Corona,21.5
Dodge Challenger,15.5
AMC Javelin,15.2
Camaro Z28,13.3
Pontiac Firebird,19.2
Fiat X1-9,27.3
Porsche 914-2,26
Lotus Europa,30.4
Ford Pantera L,15.8
Ferrari Dino,19.7
Maserati Bora,15
Volvo 142E,21.4
